71|2|'Le comptage est certainement la premi&egrave;re &eacute;tape pour la sensibilisation &agrave; la r&eacute;alisation de bilans &eacute;nerg&eacute;tiques. Si le sous-comptage combustible ne se justifie pas syst&eacute;matiquement sur des petits sites de s&eacute;chage, sauf dans le but de comparer les performances de s&eacute;choirs de diff&eacute;rentes g&eacute;n&eacute;rations ; il est en revanche souhaitable sur des sites complexes, o&ugrave; le s&eacute;chage des grains c&ocirc;toie le s&eacute;chage des semences ou encore la production de vapeur. '
112|1|'Energies marines renouvelables'
113|1|'Energie Thermique des Mers - ETM'
2|1|'Management (ISO 50 001)'
2|2|'Le management de l\'énergie est illustré par l\'ISO 50001 qui permet de mettre en place un Système de Management de l\'Energie (SMEn) afin de développer une gestion méthodique de l\'énergie. Le SMEn repose sur la boucle d\'amélioration continue Plan-Do-Check-Act (PDCA), bien connue pour la qualité (ISO 9001) et l\'environnement (ISO 14001).'
2|3|'Le management de l\'énergie est applicable à tous types de structures dès lors qu\'il y a une gouvernance. Deux critères sont nécessaires : l\'engagement de la Direction dans le processus et l\'identification d\'un \"responsable énergie\". Il est donc applicable aux entreprises, industries, commerces, tertiaire, collectivités, administrations... '
2|8|'La mise en &oelig;uvre du management de l\'&eacute;nergie n&eacute;cessite des co&ucirc;ts d\'accompagnement, d\'audit et de certification.'
2|11|'La mise en place d\'un SMEn permet de diminuer les dépenses d\'énergie.'
3|1|'Gestion des énergies'
3|2|'La gestion de l\'énergie consiste à évaluer les performances énergétiques d\'un site dans le temps. En comparant les consommations annuelles, mensuelles ou par postes, par départements, il est possible de répérer des consommations anormales et de quantifier les gains obtenus.'
3|3|'Les systèmes de management de l\'énergie peuvent s\'appliquer à tous les secteurs industriels et tertiaires.'
3|8|'La mise en place d\'un plan de mesure et de vérification des économies réelles a un coût. Pour autant, il est estimé que celui-ci est inférieur à 10 % des gains engendrés par un système de management de l\'énergie.'
3|11|'Les systèmes de management de l\'énergie permettent d\'économiser entre 5 et 22 % des consommations énergétiques.'
4|1|'Organisation'
4|2|'Cette partie renvoie à la centralisation, la communication et la délégation des opérations d\'économie d\'énergie. Elle comprend par exemple, le fait de nommer un responsable énergie, d\'organiser des réunions de suivi ou encore de centraliser les bonnes pratiques au niveau du Groupe.'
4|3|'Ces pratiques sont applicables à toute entité.'
4|8|'La mise en place d\'un plan de mesure et de vérification des économies réelles a un coût. Pour autant, il est estimé que celui ci est inférieur à 10 % des gains engendrés par un système de management de l\'énergie.'
5|1|'Bâtiment'
5|2|'Un bâtiment a pour but d\'isoler un espace afin de créer des conditions propres à une activité. Il est constitué d\'une enveloppe et d\'équipements consommateurs permettant d\'assurer une atmosphère conditionnée. La structure et l\'aménagement du bâtiment sont liés à son usage.'
5|3|'Les types de bâtiment sont répartis en fonction des secteurs d\'activité. Outre le secteur des logements collectifs et individuels, le secteur des bâtiments tertiaires est divisé en plusieurs sous secteurs.'
5|8|'Selon l\'âge du bâtiment, les coûts d\'investissement liés à la rénovation de ce dernier sont variables :\r\n\r\nde 0 à 300 €HT/m² SHON pour un rafraichissement (relamping, plomberie, agencement…) ;\r\nde 300 à 1 000 €/HT/m² SHON pour une rénovation plus lourde (changement des équipements pour le chauffage, la ventilation et la climatisation, isolation des murs et de la toiture…) ;\r\nplus de 1 000 €/HT/m² SHON pour une restructuration complète (ravalement de façade, changement des menuiseries, remplacement des réseaux de chauffage et ventilation, isolation du plancher…).'
5|11|'Un diagnostic isolation réalisé de manière périodique par une entreprise extérieure permet de diminuer les coûts énergétiques de fonctionnement.\r\nDe même, une maintenance bien suivie de l\'isolation permet de préserver ses propriétés. Cela peut, par exemple, comprendre l\'ajout d\'une couche garnissante si l\'encrassement des murs est important.\r\nLe remplacement des équipements pour le chauffage, la ventilation et la climatisation permet de passer sur des technologies de rupture engendrant d\'importantes économies d\'énergie. Par exemple, les pompes à chaleur géothermiques ont des rendements élevés toute l\'année et consomment 4 fois moins d\'électricité que des convecteurs électriques pour une même quantité de chaleur générée.'
6|1|'Bureautique'
6|2|'On entend par bureautique, l\'usage des postes de travail, imprimantes et autres technologies dans les bureaux. Afin de réduire la consommation d\'électricité de ce poste, il existe plusieurs leviers tels que : \r\n\r\nle maintien des salles informatiques comprenant les serveurs à la température recommandée par le constructeur : ventilation, refroidissement, couloirs chauds/couloirs froids ;\r\nl\'optimisation sur les postes individuels : extinction des équipements, contrôle de&nbsp;la mise en veille.'
6|3|'Les appareils de bureautique sont utilisés dans de nombreuses entreprises que ce soit dans le secteur tertiaire, industriel ou dans le commerce.'
6|11|'L\'optimisation de l\'utilisation des appareils de bureautique améliore leur durée de vie et réduit les coûts de maintenance.'
6|13|'Le poste de travail est composé d\'un ordinateur, d\'un photocopieur partagé et d\'autres périphériques.'
7|1|'CVC'
7|2|'Le système CVC (Chauffage, Ventilation, Climatisation) permet de conditionner l\'air entrant dans les locaux (température, humidité) et ainsi d\'améliorer le confort thermique pour les occupants. Pour réduire la consommation énergétique de ce système, il existe plusieurs leviers tels que : \n\nl\'optimisation de la production (radiants, pompes à chaleur, groupes frigorifiques performants, renouvellement d\'air, déstratification, récupération de chaleur...) ;\nl\'optimisation de la régulation (gestion centralisée, régulation par sonde CO2, free cooling...).'
7|3|'Tous les bâtiments ont recours au système CVC, aussi bien les bâtiments industriels (atelier, stockage), les locaux tertiaires, que le résidentiel.'
7|8|'60 % de l\'énergie globale consommée par un système CVC servent au refroidissement et au chauffage. Les 40 % restant sont consommés par les systèmes périphériques comme les pompes, les ventilateurs, les unités de traitement d\'air.'
